spatial,temporal,interest,observation,reference
Total.Total,2016,Total.Total.U,0.0008148952087543,100k
Total.Total,2020,Total.Total.U,156.3271197762281,100k
Total.Total,2021,Total.Total.U,184.97828051464543,100k
Total.Total,2022,Total.Total.U,29.55386248501326,100k
Total.Total,2016,Hombres.Total.U,0.0016641636535874,100k
Total.Total,2020,Hombres.Total.U,205.33782119206504,100k
Total.Total,2020,Mujeres.Total.U,109.3129500406748,100k
Total.Total,2021,Hombres.Total.U,229.6447603225752,100k
Total.Total,2021,Mujeres.Total.U,142.1395715655844,100k
Total.Total,2022,Hombres.Total.U,36.446838618268856,100k
Total.Total,2022,Mujeres.Total.U,22.94447099294821,100k
Total.Total,2020,Total.>65.U,81.082,100k
Total.Total,2021,Total.>65.U,94.873,100k
Total.Total,2022,Total.>65.U,19.533,100k
Total.Total,2020,Total.45_64.U,65.237,100k
Total.Total,2021,Total.45_64.U,70.675,100k
Total.Total,2022,Total.45_64.U,7.567,100k
Total.Total,2020,Total.25_44.U,13.914,100k
Total.Total,2021,Total.25_44.U,20.189,100k
Total.Total,2022,Total.25_44.U,1.841,100k
Total.Total,2016,Total.15_24.U,0.001,100k
Total.Total,2020,Total.15_24.U,0.702,100k
Total.Total,2021,Total.15_24.U,1.12,100k
Total.Total,2022,Total.15_24.U,0.263,100k
Total.Total,2020,Total.05_14.U,0.116,100k
Total.Total,2021,Total.05_14.U,0.157,100k
Total.Total,2022,Total.05_14.U,0.109,100k
Total.Total,2020,Total.00_04.U,0.261,100k
Total.Total,2021,Total.00_04.U,0.249,100k
Total.Total,2022,Total.00_04.U,0.21,100k
Total.Total,2020,Hombres.>65.U07,110.278,100k
Total.Total,2020,Mujeres.>65.U07,57.076,100k
Total.Total,2020,Hombres.>65.U10,0.002,100k
Total.Total,2021,Hombres.>65.U07,123.11,100k
Total.Total,2021,Mujeres.>65.U07,71.59,100k
Total.Total,2021,Hombres.>65.U10,0.052,100k
Total.Total,2021,Mujeres.>65.U10,0.035,100k
Total.Total,2021,Hombres.>65.U12,0.011,100k
Total.Total,2021,Mujeres.>65.U12,0.001,100k
Total.Total,2022,Hombres.>65.U07,26.257,100k
Total.Total,2022,Mujeres.>65.U07,14.004,100k
Total.Total,2022,Hombres.>65.U10,0.009,100k
Total.Total,2022,Mujeres.>65.U10,0.004,100k
Total.Total,2020,Hombres.45_64.U07,91.205,100k
Total.Total,2020,Mujeres.45_64.U07,41.801,100k
Total.Total,2020,Hombres.45_64.U10,0.003,100k
Total.Total,2020,Mujeres.45_64.U10,0.004,100k
Total.Total,2021,Hombres.45_64.U07,92.048,100k
Total.Total,2021,Mujeres.45_64.U07,51.427,100k
Total.Total,2021,Hombres.45_64.U10,0.032,100k
Total.Total,2021,Mujeres.45_64.U10,0.01,100k
Total.Total,2021,Hombres.45_64.U12,0.002,100k
Total.Total,2022,Hombres.45_64.U07,9.574,100k
Total.Total,2022,Mujeres.45_64.U07,5.765,100k
Total.Total,2022,Hombres.45_64.U10,0.003,100k
Total.Total,2022,Mujeres.45_64.U10,0.004,100k
Total.Total,2020,Hombres.25_44.U07,20.482,100k
Total.Total,2020,Mujeres.25_44.U07,7.767,100k
Total.Total,2021,Hombres.25_44.U07,28.194,100k
Total.Total,2021,Mujeres.25_44.U07,12.643,100k
Total.Total,2021,Hombres.25_44.U10,0.014,100k
Total.Total,2021,Mujeres.25_44.U10,0.003,100k
Total.Total,2021,Hombres.25_44.U12,0.002,100k
Total.Total,2022,Hombres.25_44.U07,2.342,100k
Total.Total,2022,Mujeres.25_44.U07,1.368,100k
Total.Total,2016,Hombres.15_24.U06,0.002,100k
Total.Total,2020,Hombres.15_24.U07,0.818,100k
Total.Total,2020,Mujeres.15_24.U07,0.581,100k
Total.Total,2020,Mujeres.15_24.U10,0.002,100k
Total.Total,2021,Hombres.15_24.U07,1.297,100k
Total.Total,2021,Mujeres.15_24.U07,0.936,100k
Total.Total,2021,Hombres.15_24.U10,0.002,100k
Total.Total,2022,Hombres.15_24.U07,0.286,100k
Total.Total,2022,Mujeres.15_24.U07,0.239,100k
Total.Total,2020,Hombres.05_14.U07,0.132,100k
Total.Total,2020,Mujeres.05_14.U07,0.099,100k
Total.Total,2021,Hombres.05_14.U07,0.151,100k
Total.Total,2021,Mujeres.05_14.U07,0.159,100k
Total.Total,2021,Hombres.05_14.U10,0.002,100k
Total.Total,2021,Mujeres.05_14.U10,0.003,100k
Total.Total,2022,Hombres.05_14.U07,0.119,100k
Total.Total,2022,Mujeres.05_14.U07,0.098,100k
Total.Total,2022,Hombres.05_14.U10,0.002,100k
Total.Total,2020,Hombres.00_04.U07,0.28,100k
Total.Total,2020,Mujeres.00_04.U07,0.242,100k
Total.Total,2021,Hombres.00_04.U07,0.271,100k
Total.Total,2021,Mujeres.00_04.U07,0.227,100k
Total.Total,2022,Hombres.00_04.U07,0.214,100k
Total.Total,2022,Mujeres.00_04.U07,0.205,100k
Total.Total,2016,Total.Total.U06,0.0008148952087543,100k
Total.Total,2020,Total.Total.U07,156.32164213730397,100k
Total.Total,2020,Total.Total.U10,0.0054776389241522,100k
Total.Total,2021,Total.Total.U07,184.897643131336,100k
Total.Total,2021,Total.Total.U10,0.0736591482153795,100k
Total.Total,2021,Total.Total.U12,0.0069782350940885,100k
Total.Total,2022,Total.Total.U07,29.54310304996476,100k
Total.Total,2022,Total.Total.U10,0.010759435048503,100k
Total.Total,2016,Hombres.Total.U06,0.0016641636535874,100k
Total.Total,2020,Hombres.Total.U07,205.33302638012827,100k
Total.Total,2020,Mujeres.Total.U07,109.30681739084572,100k
Total.Total,2020,Hombres.Total.U10,0.0047948119367674,100k
Total.Total,2020,Mujeres.Total.U10,0.0061326498290677,100k
Total.Total,2021,Hombres.Total.U07,229.5370618777772,100k
Total.Total,2021,Mujeres.Total.U07,142.0848878939161,100k
Total.Total,2021,Hombres.Total.U10,0.0950280395276732,100k
Total.Total,2021,Mujeres.Total.U10,0.0531646807886236,100k
Total.Total,2021,Hombres.Total.U12,0.0126704052703564,100k
Total.Total,2021,Mujeres.Total.U12,0.0015189908796749,100k
Total.Total,2022,Hombres.Total.U07,36.43427832237215,100k
Total.Total,2022,Mujeres.Total.U07,22.93543832934624,100k
Total.Total,2022,Hombres.Total.U10,0.0125602958967067,100k
Total.Total,2022,Mujeres.Total.U10,0.0090326636019742,100k
Total.Total,2020,Total.>65.U07,81.081,100k
Total.Total,2020,Total.>65.U10,0.001,100k
Total.Total,2021,Total.>65.U07,94.824,100k
Total.Total,2021,Total.>65.U10,0.043,100k
Total.Total,2021,Total.>65.U12,0.006,100k
Total.Total,2022,Total.>65.U07,19.527,100k
Total.Total,2022,Total.>65.U10,0.006,100k
Total.Total,2020,Total.45_64.U07,65.233,100k
Total.Total,2020,Total.45_64.U10,0.004,100k
Total.Total,2021,Total.45_64.U07,70.654,100k
Total.Total,2021,Total.45_64.U10,0.021,100k
Total.Total,2021,Total.45_64.U12,0.001,100k
Total.Total,2022,Total.45_64.U07,7.564,100k
Total.Total,2022,Total.45_64.U10,0.004,100k
Total.Total,2020,Total.25_44.U07,13.914,100k
Total.Total,2021,Total.25_44.U07,20.18,100k
Total.Total,2021,Total.25_44.U10,0.008,100k
Total.Total,2021,Total.25_44.U12,0.001,100k
Total.Total,2022,Total.25_44.U07,1.841,100k
Total.Total,2016,Total.15_24.U06,0.001,100k
Total.Total,2020,Total.15_24.U07,0.701,100k
Total.Total,2020,Total.15_24.U10,0.001,100k
Total.Total,2021,Total.15_24.U07,1.119,100k
Total.Total,2021,Total.15_24.U10,0.001,100k
Total.Total,2022,Total.15_24.U07,0.263,100k
Total.Total,2020,Total.05_14.U07,0.116,100k
Total.Total,2021,Total.05_14.U07,0.155,100k
Total.Total,2021,Total.05_14.U10,0.002,100k
Total.Total,2022,Total.05_14.U07,0.108,100k
Total.Total,2022,Total.05_14.U10,0.001,100k
Total.Total,2020,Total.00_04.U07,0.261,100k
Total.Total,2021,Total.00_04.U07,0.249,100k
Total.Total,2022,Total.00_04.U07,0.21,100k
Total.Total,2016,Total.Total.U069,0.0008148952087543,100k
Total.Total,2020,Total.Total.U071,114.631332285581,100k
Total.Total,2020,Total.Total.U072,41.69030985172297,100k
Total.Total,2020,Total.Total.U109,0.0054776389241522,100k
Total.Total,2021,Total.Total.U071,138.3357571457573,100k
Total.Total,2021,Total.Total.U072,46.56188598557867,100k
Total.Total,2021,Total.Total.U109,0.0736591482153795,100k
Total.Total,2021,Total.Total.U129,0.0069782350940885,100k
Total.Total,2022,Total.Total.U071,24.584540554754625,100k
Total.Total,2022,Total.Total.U072,4.95856249521013,100k
Total.Total,2022,Total.Total.U109,0.010759435048503,100k
Total.Total,2016,Hombres.Total.U069,0.0016641636535874,100k
Total.Total,2020,Hombres.Total.U071,149.39994686709065,100k
